path,label,자연,한옥,역사,고층빌딩,백화점,미술관,쇼핑,공원,강변,시장,박물관,첨단기술,전망대,테마파크,음식,문화체험,종교
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_10_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_11_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_13_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_14_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_15_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_16_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_17_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_18_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_19_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_1_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_3_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_4_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_5_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_6_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_7_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_8_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/3.1독립선언기념탑_9_공공3유형.jpg,3.1독립선언기념탑,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_10_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_11_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_12_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_14_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_16_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_1_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_2_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_3_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_4_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_5_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_6_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_7_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_8_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/63스퀘어_9_공공3유형.jpg,63스퀘어,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_10_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_11_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_1_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_2_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_4_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_5_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_7_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_8_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강남_9_공공3유형.jpg,강남,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
M:/Side/2024_TourAPI/DB/image/강서역사문화거리_10_공공3유형.jpg,강서역사문화거리,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
M:/Side/2024_TourAPI/DB/image/강서역사문화거리_11_공공3유형.jpg,강서역사문화거리,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
